id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
7691,圆滚滚是小辣椒,90,天秤座,4102,1689,f,湖南,0,False,-1
7692,dayu想画画,-1,双子座,1036,135,f,浙江,0,False,-1
7693,美女的事少管懂吗,90,射手座,123,503,f,山东,1,False,-1
7694,芝士应该温良的小女孩,00,巨蟹座,73,406,f,广东,2,False,-1
7695,夜俱,90,天秤座,10355,1158,f,江苏,0,False,-1
7696,-昨日如梦似流星划过deao,90,射手座,247,847,m,天津,3,False,-1
7697,舒妤w,-1,天秤座,132,269,f,浙江,4,False,-1
7698,黄素馨echo,-1,狮子座,16,140,f,河北,0,False,-1
7699,阿茶4869,-1,白羊座,33,199,f,江苏,1,False,-1
7700,HYnuyoah,-1,双子座,2068,351,f,北京,7,False,-1
7701,妄阳朔尔茨,00,双鱼座,7,146,m,河北,1,False,-1
7702,卿昭霁7,-1,天秤座,235,448,f,浙江,3,True,0
7703,一只肥宝呀,90,射手座,250,2508,f,安徽,1,True,0
7704,昭然若雨white,00,双子座,935,547,m,黑龙江,4,True,0
7705,-阿申-,00,射手座,70,238,f,福建,1,False,-1
7706,checkcheck,90,双子座,76,523,f,重庆,6,False,-1
7707,SUMI绝域_一个拍照的,-1,摩羯座,3570,934,f,江苏,7,False,-1
7708,Drew柚子,90,白羊座,637,741,f,北京,0,False,220
7709,Inmyrules,-1,天蝎座,571,324,f,广东,6,False,220
7710,希望你今日开心_,00,天蝎座,760,1814,f,北京,7,True,0
7711,Dystt111,-1,处女座,1,0,f,上海,0,False,-1
7712,脱氧核糖不是糖,-1,摩羯座,57,415,f,北京,5,False,-1
7713,朽木樱琪亚,-1,天蝎座,1752,656,m,上海,1,False,220
7714,杨幂微信多少_,00,水瓶座,23,37,f,福建,1,False,-1
7715,海菱游,90,金牛座,33,419,f,重庆,2,False,-1
7716,不想活的小男孩,90,天秤座,305,155,m,陕西,0,False,-1
7717,媛媛恩宝zy,80,摩羯座,21,21,f,四川,0,False,-1
7718,z小张很嚣张z,-1,天秤座,11,507,f,天津,0,False,-1
7719,Raya运动版,00,双鱼座,60,170,f,江西,5,False,-1
7720,Double_Yuu,90,狮子座,450,370,m,广东,6,True,0
7721,你冒饭到我了,00,白羊座,141,116,f,江西,5,False,-1
7722,美人九,20,天秤座,485,345,f,黑龙江,8,False,-1
7723,你的牛肉丸呢,00,巨蟹座,17,94,f,广东,0,False,-1
7724,金名玖柒,90,摩羯座,237,607,f,广东,6,True,0
7725,柚子_eu,-1,天秤座,133,443,f,广东,5,False,-1
7726,零淚雪namidayuki,00,天蝎座,291,845,f,广东,1,True,0
7727,几几年的几月几日,-1,狮子座,401,447,f,北京,1,False,-1
7728,小鱼在线发财,-1,白羊座,317,899,f,湖南,7,False,-1
7729,松月扬三月,90,金牛座,125,1040,f,湖南,0,False,-1
7730,潘洛斯的三角铁,-1,天蝎座,657,2355,f,北京,7,False,-1
7731,淋雨捧花赠予,-1,处女座,20,59,f,浙江,0,False,-1
7732,單卵細胞球BB,-1,射手座,628,813,m,广东,6,True,0
7733,澜调若宣,90,狮子座,79,366,f,广东,0,False,-1
7734,mmixpaaa,90,水瓶座,134,148,f,北京,6,False,-1
7735,月下的小调吖,90,狮子座,99,175,f,广东,0,False,-1
7736,萌比哟啊咿,-1,水瓶座,104,117,f,浙江,1,False,-1
7737,TOMO酱一点也不好吃,80,处女座,670,2048,f,上海,7,True,0
7738,我的智齿太疼了,90,狮子座,187,237,m,湖南,6,False,-1
7739,草莓熊才不是小坏蛋,-1,双子座,130,206,f,陕西,2,False,-1
7740,社大大二生_乐姐,-1,双子座,465,651,m,广东,0,False,220
7741,白白白依锐,00,双子座,1077,166,f,上海,7,False,-1
7742,人土土于口土-,00,天秤座,90,1311,f,四川,1,False,-1
7743,用户7469657138,90,金牛座,2,223,f,山东,0,False,-1
7744,呆b可达鸭,-1,天蝎座,8,79,f,北京,0,False,-1
7745,pigeon饲养员,90,狮子座,234,149,f,浙江,6,True,0
7746,阿云海海,-1,天秤座,584,213,f,江苏,1,False,-1
7747,我要睡十小时-,10,水瓶座,28,398,f,浙江,1,False,-1
7748,这次真的要换了,-1,巨蟹座,1639,602,f,北京,6,True,0
7749,鱼缸里的肥鱼ish,-1,双子座,401,787,f,广东,7,False,-1
7750,Azusa_kkw,-1,狮子座,1397,440,f,江苏,7,True,0
7751,无意识人尽鬼畜,90,射手座,81,35,f,上海,4,False,-1
7752,Crystal_愛F,00,天秤座,267,431,f,河北,6,True,0
7753,月见萤时,-1,摩羯座,538,1615,f,北京,6,False,220
7754,MRTREEMAN,90,狮子座,48,379,f,天津,1,False,-1
7755,notoveryou621,00,金牛座,14,147,f,江西,0,False,-1
7756,鱼儿是红毛,00,双鱼座,1214,1418,f,广东,4,True,0
7757,加加加酱,-1,射手座,15,67,f,浙江,2,False,-1
7758,可我永远爱你鸭,90,狮子座,166,126,f,山东,0,False,-1
7759,要怪就怪宋旻浩,-1,双鱼座,1352,489,f,湖北,4,True,0
7760,_-長風-_,90,处女座,226,405,f,山东,3,False,-1
7761,-Wuani-,-1,狮子座,190,223,f,广东,2,True,0
7762,贩卖大海的孤独,20,双子座,144,246,f,广东,6,True,0
7763,sober0814,00,狮子座,1,256,f,福建,0,False,-1
7764,桃派小猪包,00,水瓶座,770,704,f,广东,2,True,0
7765,冷酷吸盘挂钩,-1,天秤座,445,498,m,江苏,5,False,-1
7766,走运的兔脚,00,巨蟹座,2,135,f,重庆,0,False,-1
7767,无敌小葡萄_的碎碎念,-1,白羊座,21,649,f,西藏,0,False,-1
7768,政宝cz,90,白羊座,14,209,m,上海,2,False,-1
7769,Azurechin,-1,双子座,22,303,f,广东,5,False,-1
7770,Jane开口跪,90,白羊座,59,436,m,广东,6,True,0
7771,小笔崽治会起飞,00,天秤座,1,13,f,上海,0,False,-1
7772,饼藏爱吃年糕,-1,巨蟹座,872,279,f,河南,5,True,0
7773,Nirenberg,80,水瓶座,232,250,m,浙江,7,False,-1
7774,-Hazuko-,-1,双子座,331,74,f,四川,7,False,-1
7775,想做一个有趣的人,-1,处女座,232,1161,f,上海,3,False,-1
7776,侦探皮,00,狮子座,157,598,m,江苏,5,False,-1
7777,匹池,-1,摩羯座,878,434,f,北京,7,False,220
7778,是发烂发臭的苹果吧,-1,摩羯座,2,65,f,广东,0,False,-1
7779,2井在学画,90,双子座,389,962,f,湖北,4,False,-1
7780,Echinoideachestnut_,20,巨蟹座,22,113,f,山东,2,False,-1
7781,懵呵懵呵的,-1,巨蟹座,261,392,f,上海,5,True,0
7782,聪明伶俐机智兔,90,天秤座,115,52,f,山东,6,False,-1
7783,粒毛兽_,90,水瓶座,933,359,f,广东,7,False,220
7784,君莫笑妃,90,天蝎座,1781,234,f,江苏,7,True,0
7785,夜神游礼,-1,双子座,20,169,f,福建,1,False,-1
7786,捕三刀烦了焰,90,射手座,48,355,f,云南,6,False,-1
7787,东方月啾啾,-1,射手座,3162,262,f,广东,6,True,0
7788,MMM菌菇,-1,射手座,413,572,f,上海,6,False,-1
7789,Nanjo_kiki_转生,90,狮子座,36,298,m,湖南,0,False,-1
7790,少主今天依然没有柯基,-1,金牛座,473,385,f,上海,6,True,0
7791,KaAkira,10,双鱼座,14,109,f,湖北,1,False,-1
7792,衔衔啊,90,狮子座,1468,196,f,北京,8,True,0
7793,哇库哇库cc,-1,射手座,33,133,f,江苏,0,False,-1
7794,蹦跶的鼠鼠,90,白羊座,176,61,f,山东,1,False,-1
7795,阿芊有在稍稍迟,-1,巨蟹座,126,673,f,四川,1,False,-1
7796,NamelessChen,90,白羊座,369,953,f,黑龙江,6,False,-1
7797,妈妈吸塔,-1,水瓶座,290,153,m,北京,7,False,220
7798,127复婚旷野带九娃,00,双鱼座,56,174,f,湖南,2,False,-1
7799,予酥_N,00,金牛座,108,681,f,陕西,6,False,-1
7800,松鼠inICEAGE,90,天蝎座,391,185,f,北京,7,False,-1
7801,玉逍遥,-1,射手座,242,686,f,重庆,6,True,0
7802,珀尔茶是琥珀的珀·,-1,金牛座,1447,418,f,山东,7,True,0
7803,奔向狂风的路口,-1,双子座,27,332,f,江苏,6,False,-1
7804,Coral2_,-1,白羊座,1150,409,f,重庆,5,True,0
7805,安梦玄汐,90,天秤座,217,283,f,江苏,1,False,-1
7806,goodgarlic,-1,巨蟹座,702,467,f,北京,5,False,220
7807,伞木西梅,-1,水瓶座,16,173,m,湖南,0,False,-1
7808,爽死我算了,00,双鱼座,49,129,m,江苏,1,False,-1
7809,哇达西哇圆香芹,00,处女座,17099,188,f,北京,7,False,-1
7810,comeandfindyou,00,狮子座,2,112,f,西藏,3,False,-1
7811,罗恩芬多,-1,巨蟹座,994,196,m,河南,6,True,0
7812,Sheena_as_Zealot,10,天秤座,211,94,f,上海,1,False,-1
7813,antonio-chou,90,金牛座,124,249,m,重庆,6,False,-1
7814,岛屿孤独星,-1,天蝎座,1902,106,f,广东,7,False,-1
7815,好运怀柒,10,射手座,13,306,f,北京,1,False,-1
7816,Merida090231,-1,狮子座,272,1799,f,北京,6,False,-1
7817,平煜雯安,-1,狮子座,2559,508,f,北京,6,False,220
